"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
Crown Heights South,Non-Citizens,2006,Number,26209,309
Sunset Park,Non-Citizens,2006,Number,46980,307
Bay Ridge,Non-Citizens,2006,Number,21633,310
Borough Park,Non-Citizens,2006,Number,22482,312
Flatbush/Midwood,Non-Citizens,2006,Number,32804,314
Sheepshead Bay,Non-Citizens,2006,Number,26228,315
Bensonhurst,Non-Citizens,2006,Number,36393,311
Coney Island,Non-Citizens,2006,Number,15402,313
Astoria,Non-Citizens,2006,Number,43765,401
Jackson Heights,Non-Citizens,2006,Number,63004,403
Flushing,Non-Citizens,2006,Number,73505,407
Bayside,Non-Citizens,2006,Number,18190,411
Queens Village,Non-Citizens,2006,Number,27293,413
Fresh Meadows/Briarwood,Non-Citizens,2006,Number,25377,408
Elmhurst/Corona,Non-Citizens,2006,Number,55730,404
Rego Park/Forest Hills,Non-Citizens,2006,Number,21491,406
Sunnyside/Woodside,Non-Citizens,2006,Number,40863,402
Ridgewood/Glendale,Non-Citizens,2006,Number,35459,405
Woodhaven,Non-Citizens,2006,Number,32521,409
Jamaica/St. Albans,Non-Citizens,2006,Number,44038,412
Howard Beach,Non-Citizens,2006,Number,23033,410
The Rockaways,Non-Citizens,2006,Number,13189,414
Bronx,Non-Citizens,2006,Number,248528,36005
Brooklyn,Non-Citizens,2006,Number,423455,36047
Manhattan,Non-Citizens,2006,Number,256871,36061
Queens,Non-Citizens,2006,Number,517458,36081
Staten Island,Non-Citizens,2006,Number,39654,36085
New York City,Non-Citizens,2006,Number,1485966,3651000
Riverdale,Non-Citizens,2006,Percent,0.15379,208
Williamsbridge,Non-Citizens,2006,Percent,0.16816,212
Throgs Neck,Non-Citizens,2006,Percent,0.05266,210
Pelham Parkway,Non-Citizens,2006,Percent,0.13371,211
Morrisania,Non-Citizens,2006,Percent,0.18756,203
East Tremont,Non-Citizens,2006,Percent,0.18756,206
Bedford Park,Non-Citizens,2006,Percent,0.25087,207
University Heights,Non-Citizens,2006,Percent,0.26266,205
Concourse/Highbridge,Non-Citizens,2006,Percent,0.26422,204
Unionport/Soundview,Non-Citizens,2006,Percent,0.16343,209
Mott Haven,Non-Citizens,2006,Percent,0.17253,201
Hunts Point,Non-Citizens,2006,Percent,0.17253,202
Washington Heights,Non-Citizens,2006,Percent,0.27776,112
Manhattanville,Non-Citizens,2006,Percent,0.20673,109
Central Harlem,Non-Citizens,2006,Percent,0.12561,110
East Harlem,Non-Citizens,2006,Percent,0.16493,111
Upper East Side,Non-Citizens,2006,Percent,0.09788,108
Upper West Side,Non-Citizens,2006,Percent,0.10839,107
Chelsea/Clinton,Non-Citizens,2006,Percent,0.13456,104
Midtown Business District,Non-Citizens,2006,Percent,0.13456,105
Murray Hill/Stuyvesant,Non-Citizens,2006,Percent,0.12389,106
Lower East Side,Non-Citizens,2006,Percent,0.19967,103
Battery Park/Tribeca,Non-Citizens,2006,Percent,0.14555,101
Greenwich Village,Non-Citizens,2006,Percent,0.14555,102
Tottenville,Non-Citizens,2006,Percent,0.02848,503
South Beach,Non-Citizens,2006,Percent,0.09296,502
St. George,Non-Citizens,2006,Percent,0.13202,501
Williamsburg/Greenpoint,Non-Citizens,2006,Percent,0.14715,301
Bushwick,Non-Citizens,2006,Percent,0.25573,304
Bedford Stuyvesant,Non-Citizens,2006,Percent,0.1114,303
Fort Greene/Brooklyn Hts,Non-Citizens,2006,Percent,0.08531,302
Park Slope,Non-Citizens,2006,Percent,0.08175,306
Crown Heights North,Non-Citizens,2006,Percent,0.17322,308
Brownsville,Non-Citizens,2006,Percent,0.12074,316
East New York,Non-Citizens,2006,Percent,0.08554,305
Canarsie,Non-Citizens,2006,Percent,0.12761,318
East Flatbush,Non-Citizens,2006,Percent,0.22777,317
Crown Heights South,Non-Citizens,2006,Percent,0.23754,309
Sunset Park,Non-Citizens,2006,Percent,0.30693,307
Bay Ridge,Non-Citizens,2006,Percent,0.17524,310
Borough Park,Non-Citizens,2006,Percent,0.14457,312
Flatbush/Midwood,Non-Citizens,2006,Percent,0.20113,314
Sheepshead Bay,Non-Citizens,2006,Percent,0.17628,315
Bensonhurst,Non-Citizens,2006,Percent,0.20844,311
Coney Island,Non-Citizens,2006,Percent,0.14854,313
Astoria,Non-Citizens,2006,Percent,0.23004,401
Jackson Heights,Non-Citizens,2006,Percent,0.35719,403
Flushing,Non-Citizens,2006,Percent,0.29814,407
Bayside,Non-Citizens,2006,Percent,0.15444,411
Queens Village,Non-Citizens,2006,Percent,0.12771,413
Fresh Meadows/Briarwood,Non-Citizens,2006,Percent,0.17219,408
Elmhurst/Corona,Non-Citizens,2006,Percent,0.40211,404
Rego Park/Forest Hills,Non-Citizens,2006,Percent,0.1846,406
Sunnyside/Woodside,Non-Citizens,2006,Percent,0.31757,402
Ridgewood/Glendale,Non-Citizens,2006,Percent,0.19725,405
Woodhaven,Non-Citizens,2006,Percent,0.23451,409
Jamaica/St. Albans,Non-Citizens,2006,Percent,0.20377,412
Howard Beach,Non-Citizens,2006,Percent,0.18482,410
The Rockaways,Non-Citizens,2006,Percent,0.10966,414
Bronx,Non-Citizens,2006,Percent,0.18254,36005
Brooklyn,Non-Citizens,2006,Percent,0.16879,36047
Manhattan,Non-Citizens,2006,Percent,0.15939,36061
Queens,Non-Citizens,2006,Percent,0.22945,36081
Staten Island,Non-Citizens,2006,Percent,0.08307,36085
New York City,Non-Citizens,2006,Percent,0.1809,3651000
Riverdale,Native Citizen,2007,Number,73821,208
Williamsbridge,Native Citizen,2007,Number,97876,212
Throgs Neck,Native Citizen,2007,Number,103075,210
Pelham Parkway,Native Citizen,2007,Number,85169,211
Morrisania,Native Citizen,2007,Number,56522.26031,203
East Tremont,Native Citizen,2007,Number,59006.73969,206
Bedford Park,Native Citizen,2007,Number,77330,207
University Heights,Native Citizen,2007,Number,80660,205
Concourse/Highbridge,Native Citizen,2007,Number,85099,204
Unionport/Soundview,Native Citizen,2007,Number,116591,209
Mott Haven,Native Citizen,2007,Number,68394.07593,201
Hunts Point,Native Citizen,2007,Number,39053.92407,202
Washington Heights,Native Citizen,2007,Number,112635,112
Manhattanville,Native Citizen,2007,Number,85944,109
Central Harlem,Native Citizen,2007,Number,97201,110
East Harlem,Native Citizen,2007,Number,90536,111
Upper East Side,Native Citizen,2007,Number,175114,108
Upper West Side,Native Citizen,2007,Number,170601,107
Chelsea/Clinton,Native Citizen,2007,Number,67380.69482,104
Midtown Business District,Native Citizen,2007,Number,33723.30518,105
Murray Hill/Stuyvesant,Native Citizen,2007,Number,107772,106
Lower East Side,Native Citizen,2007,Number,102512,103
Battery Park/Tribeca,Native Citizen,2007,Number,42700.02684,101
Greenwich Village,Native Citizen,2007,Number,63033.97316,102
Tottenville,Native Citizen,2007,Number,138299,503
South Beach,Native Citizen,2007,Number,102058,502
St. George,Native Citizen,2007,Number,136135,501
Williamsburg/Greenpoint,Native Citizen,2007,Number,102813,301
Bushwick,Native Citizen,2007,Number,79469,304
Bedford Stuyvesant,Native Citizen,2007,Number,99643,303
Fort Greene/Brooklyn Hts,Native Citizen,2007,Number,94786,302
Park Slope,Native Citizen,2007,Number,89655,306
Crown Heights North,Native Citizen,2007,Number,87384,308
Brownsville,Native Citizen,2007,Number,88490,316
East New York,Native Citizen,2007,Number,104034,305
Canarsie,Native Citizen,2007,Number,124595,318
East Flatbush,Native Citizen,2007,Number,64816,317
Crown Heights South,Native Citizen,2007,Number,61105,309
Sunset Park,Native Citizen,2007,Number,80299,307
Bay Ridge,Native Citizen,2007,Number,82023,310
Borough Park,Native Citizen,2007,Number,116769,312
Flatbush/Midwood,Native Citizen,2007,Number,90652,314
Sheepshead Bay,Native Citizen,2007,Number,76755,315
Bensonhurst,Native Citizen,2007,Number,90412,311
Coney Island,Native Citizen,2007,Number,52384,313
Astoria,Native Citizen,2007,Number,92078,401
Jackson Heights,Native Citizen,2007,Number,65843,403
Flushing,Native Citizen,2007,Number,106478,407
Bayside,Native Citizen,2007,Number,76479,411
Queens Village,Native Citizen,2007,Number,112694,413
Fresh Meadows/Briarwood,Native Citizen,2007,Number,80153,408
Elmhurst/Corona,Native Citizen,2007,Number,47434,404
Rego Park/Forest Hills,Native Citizen,2007,Number,55500,406
Sunnyside/Woodside,Native Citizen,2007,Number,55431,402
Ridgewood/Glendale,Native Citizen,2007,Number,118155,405
Woodhaven,Native Citizen,2007,Number,68909,409
Jamaica/St. Albans,Native Citizen,2007,Number,132352,412
Howard Beach,Native Citizen,2007,Number,74358,410
The Rockaways,Native Citizen,2007,Number,86660,414
Bronx,Native Citizen,2007,Number,942598,36005
Brooklyn,Native Citizen,2007,Number,1586084,36047
Manhattan,Native Citizen,2007,Number,1149153,36061
Queens,Native Citizen,2007,Number,1172524,36081
Staten Island,Native Citizen,2007,Number,376492,36085
New York City,Native Citizen,2007,Number,5226851,3651000
Riverdale,Native Citizen,2007,Percent,0.6523,208
Williamsbridge,Native Citizen,2007,Percent,0.66048,212
Throgs Neck,Native Citizen,2007,Percent,0.83596,210
Pelham Parkway,Native Citizen,2007,Percent,0.67074,211
Morrisania,Native Citizen,2007,Percent,0.74767,203
East Tremont,Native Citizen,2007,Percent,0.74767,206
Bedford Park,Native Citizen,2007,Percent,0.63576,207
University Heights,Native Citizen,2007,Percent,0.624,205
Concourse/Highbridge,Native Citizen,2007,Percent,0.61027,204
Unionport/Soundview,Native Citizen,2007,Percent,0.70028,209
Mott Haven,Native Citizen,2007,Percent,0.71315,201
Hunts Point,Native Citizen,2007,Percent,0.71315,202
Washington Heights,Native Citizen,2007,Percent,0.50792,112
Manhattanville,Native Citizen,2007,Percent,0.6588,109
Central Harlem,Native Citizen,2007,Percent,0.77834,110
East Harlem,Native Citizen,2007,Percent,0.74542,111
Upper East Side,Native Citizen,2007,Percent,0.80234,108
Upper West Side,Native Citizen,2007,Percent,0.79538,107
Chelsea/Clinton,Native Citizen,2007,Percent,0.75922,104
Midtown Business District,Native Citizen,2007,Percent,0.75922,105
Murray Hill/Stuyvesant,Native Citizen,2007,Percent,0.74633,106
Lower East Side,Native Citizen,2007,Percent,0.59461,103
Battery Park/Tribeca,Native Citizen,2007,Percent,0.75742,101
Greenwich Village,Native Citizen,2007,Percent,0.75742,102
Tottenville,Native Citizen,2007,Percent,0.84025,503
South Beach,Native Citizen,2007,Percent,0.76056,502
St. George,Native Citizen,2007,Percent,0.74459,501
Williamsburg/Greenpoint,Native Citizen,2007,Percent,0.70201,301
Bushwick,Native Citizen,2007,Percent,0.61139,304
Bedford Stuyvesant,Native Citizen,2007,Percent,0.79271,303
Fort Greene/Brooklyn Hts,Native Citizen,2007,Percent,0.81185,302
Park Slope,Native Citizen,2007,Percent,0.82261,306
Crown Heights North,Native Citizen,2007,Percent,0.67286,308
Brownsville,Native Citizen,2007,Percent,0.73252,316
East New York,Native Citizen,2007,Percent,0.65549,305
Canarsie,Native Citizen,2007,Percent,0.61563,318
East Flatbush,Native Citizen,2007,Percent,0.47782,317
Crown Heights South,Native Citizen,2007,Percent,0.54533,309
Sunset Park,Native Citizen,2007,Percent,0.54714,307
Bay Ridge,Native Citizen,2007,Percent,0.64723,310
Borough Park,Native Citizen,2007,Percent,0.66271,312
Flatbush/Midwood,Native Citizen,2007,Percent,0.56382,314
Sheepshead Bay,Native Citizen,2007,Percent,0.55826,315
Bensonhurst,Native Citizen,2007,Percent,0.49068,311
Coney Island,Native Citizen,2007,Percent,0.48287,313
Astoria,Native Citizen,2007,Percent,0.52525,401
Jackson Heights,Native Citizen,2007,Percent,0.36149,403
Flushing,Native Citizen,2007,Percent,0.45429,407
Bayside,Native Citizen,2007,Percent,0.6197,411
Queens Village,Native Citizen,2007,Percent,0.5577,413
Fresh Meadows/Briarwood,Native Citizen,2007,Percent,0.52995,408
Elmhurst/Corona,Native Citizen,2007,Percent,0.33837,404
Rego Park/Forest Hills,Native Citizen,2007,Percent,0.47061,406
Sunnyside/Woodside,Native Citizen,2007,Percent,0.39839,402
Ridgewood/Glendale,Native Citizen,2007,Percent,0.63119,405
Woodhaven,Native Citizen,2007,Percent,0.47161,409
Jamaica/St. Albans,Native Citizen,2007,Percent,0.60679,412
Howard Beach,Native Citizen,2007,Percent,0.53862,410
The Rockaways,Native Citizen,2007,Percent,0.75322,414
Bronx,Native Citizen,2007,Percent,0.6862,36005
Brooklyn,Native Citizen,2007,Percent,0.62739,36047
Manhattan,Native Citizen,2007,Percent,0.70897,36061
Queens,Native Citizen,2007,Percent,0.51645,36081
Staten Island,Native Citizen,2007,Percent,0.78173,36085
New York City,Native Citizen,2007,Percent,0.63168,3651000
Riverdale,Naturalized Citizen,2007,Number,17990,208
Williamsbridge,Naturalized Citizen,2007,Number,26356,212
Throgs Neck,Naturalized Citizen,2007,Number,12644,210
Pelham Parkway,Naturalized Citizen,2007,Number,20945,211
Morrisania,Naturalized Citizen,2007,Number,5599.43624,203
East Tremont,Naturalized Citizen,2007,Number,5845.56376,206
Bedford Park,Naturalized Citizen,2007,Number,18006,207
University Heights,Naturalized Citizen,2007,Number,18669,205
Concourse/Highbridge,Naturalized Citizen,2007,Number,17148,204
Unionport/Soundview,Naturalized Citizen,2007,Number,24916,209
Mott Haven,Naturalized Citizen,2007,Number,7443.60364,201
Hunts Point,Naturalized Citizen,2007,Number,4250.39636,202
Washington Heights,Naturalized Citizen,2007,Number,48593,112
Manhattanville,Naturalized Citizen,2007,Number,17161,109
Central Harlem,Naturalized Citizen,2007,Number,9011,110
East Harlem,Naturalized Citizen,2007,Number,9419,111
Upper East Side,Naturalized Citizen,2007,Number,19849,108
Upper West Side,Naturalized Citizen,2007,Number,21956,107
Chelsea/Clinton,Naturalized Citizen,2007,Number,9214.99513,104
Midtown Business District,Naturalized Citizen,2007,Number,4612.00487,105
Murray Hill/Stuyvesant,Naturalized Citizen,2007,Number,16614,106
Lower East Side,Naturalized Citizen,2007,Number,36363,103
Battery Park/Tribeca,Naturalized Citizen,2007,Number,6599.61638,101
Greenwich Village,Naturalized Citizen,2007,Number,9742.38362,102
Tottenville,Naturalized Citizen,2007,Number,19646,503
South Beach,Naturalized Citizen,2007,Number,21260,502
St. George,Naturalized Citizen,2007,Number,25851,501
Williamsburg/Greenpoint,Naturalized Citizen,2007,Number,19486,301
Bushwick,Naturalized Citizen,2007,Number,16815,304
Bedford Stuyvesant,Naturalized Citizen,2007,Number,13493,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2007,Number,8991,302
Park Slope,Naturalized Citizen,2007,Number,11371,306
Crown Heights North,Naturalized Citizen,2007,Number,20285,308
Brownsville,Naturalized Citizen,2007,Number,19934,316
East New York,Naturalized Citizen,2007,Number,37872,305
Canarsie,Naturalized Citizen,2007,Number,54056,318
East Flatbush,Naturalized Citizen,2007,Number,45443,317
Crown Heights South,Naturalized Citizen,2007,Number,28606,309
Sunset Park,Naturalized Citizen,2007,Number,23590,307
Bay Ridge,Naturalized Citizen,2007,Number,27891,310
Borough Park,Naturalized Citizen,2007,Number,32746,312
Flatbush/Midwood,Naturalized Citizen,2007,Number,42569,314
Sheepshead Bay,Naturalized Citizen,2007,Number,38743,315
Bensonhurst,Naturalized Citizen,2007,Number,54377,311
Coney Island,Naturalized Citizen,2007,Number,41538,313
Astoria,Naturalized Citizen,2007,Number,43786,401
Jackson Heights,Naturalized Citizen,2007,Number,48380,403
Flushing,Naturalized Citizen,2007,Number,69846,407
Bayside,Naturalized Citizen,2007,Number,29046,411
Queens Village,Naturalized Citizen,2007,Number,59261,413
Fresh Meadows/Briarwood,Naturalized Citizen,2007,Number,44444,408
Elmhurst/Corona,Naturalized Citizen,2007,Number,40263,404
Rego Park/Forest Hills,Naturalized Citizen,2007,Number,39731,406
Sunnyside/Woodside,Naturalized Citizen,2007,Number,37764,402
Ridgewood/Glendale,Naturalized Citizen,2007,Number,36756,405
Woodhaven,Naturalized Citizen,2007,Number,40072,409
Jamaica/St. Albans,Naturalized Citizen,2007,Number,45974,412
Howard Beach,Naturalized Citizen,2007,Number,35380,410
The Rockaways,Naturalized Citizen,2007,Number,15051,414
Bronx,Naturalized Citizen,2007,Number,179813,36005
Brooklyn,Naturalized Citizen,2007,Number,537806,36047
Manhattan,Naturalized Citizen,2007,Number,209135,36061
Queens,Naturalized Citizen,2007,Number,585754,36081
Staten Island,Naturalized Citizen,2007,Number,66757,36085
New York City,Naturalized Citizen,2007,Number,1579265,3651000
Riverdale,Naturalized Citizen,2007,Percent,0.15896,208
Williamsbridge,Naturalized Citizen,2007,Percent,0.17785,212
Throgs Neck,Naturalized Citizen,2007,Percent,0.10254,210
Pelham Parkway,Naturalized Citizen,2007,Percent,0.16495,211
Morrisania,Naturalized Citizen,2007,Percent,0.07407,203
East Tremont,Naturalized Citizen,2007,Percent,0.07407,206
Bedford Park,Naturalized Citizen,2007,Percent,0.14803,207
University Heights,Naturalized Citizen,2007,Percent,0.14443,205
Concourse/Highbridge,Naturalized Citizen,2007,Percent,0.12297,204
Unionport/Soundview,Naturalized Citizen,2007,Percent,0.14965,209
Mott Haven,Naturalized Citizen,2007,Percent,0.07761,201
Hunts Point,Naturalized Citizen,2007,Percent,0.07761,202
Washington Heights,Naturalized Citizen,2007,Percent,0.21913,112
Manhattanville,Naturalized Citizen,2007,Percent,0.13155,109
Central Harlem,Naturalized Citizen,2007,Percent,0.07216,110
East Harlem,Naturalized Citizen,2007,Percent,0.07755,111
Upper East Side,Naturalized Citizen,2007,Percent,0.09094,108
Upper West Side,Naturalized Citizen,2007,Percent,0.10236,107
Chelsea/Clinton,Naturalized Citizen,2007,Percent,0.10383,104
Midtown Business District,Naturalized Citizen,2007,Percent,0.10383,105
Murray Hill/Stuyvesant,Naturalized Citizen,2007,Percent,0.11505,106
Lower East Side,Naturalized Citizen,2007,Percent,0.21092,103
Battery Park/Tribeca,Naturalized Citizen,2007,Percent,0.11707,101
Greenwich Village,Naturalized Citizen,2007,Percent,0.11707,102
Tottenville,Naturalized Citizen,2007,Percent,0.11936,503
South Beach,Naturalized Citizen,2007,Percent,0.15843,502
St. George,Naturalized Citizen,2007,Percent,0.14139,501
Williamsburg/Greenpoint,Naturalized Citizen,2007,Percent,0.13305,301
Bushwick,Naturalized Citizen,2007,Percent,0.12937,304
Bedford Stuyvesant,Naturalized Citizen,2007,Percent,0.10734,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2007,Percent,0.07701,302
Park Slope,Naturalized Citizen,2007,Percent,0.10433,306
Crown Heights North,Naturalized Citizen,2007,Percent,0.15619,308
Brownsville,Naturalized Citizen,2007,Percent,0.16501,316
East New York,Naturalized Citizen,2007,Percent,0.23862,305
Canarsie,Naturalized Citizen,2007,Percent,0.26709,318
East Flatbush,Naturalized Citizen,2007,Percent,0.335,317
Crown Heights South,Naturalized Citizen,2007,Percent,0.25529,309
Sunset Park,Naturalized Citizen,2007,Percent,0.16074,307
Bay Ridge,Naturalized Citizen,2007,Percent,0.22008,310
Borough Park,Naturalized Citizen,2007,Percent,0.18585,312
Flatbush/Midwood,Naturalized Citizen,2007,Percent,0.26476,314
Sheepshead Bay,Naturalized Citizen,2007,Percent,0.28179,315
Bensonhurst,Naturalized Citizen,2007,Percent,0.29511,311
Coney Island,Naturalized Citizen,2007,Percent,0.3829,313
Astoria,Naturalized Citizen,2007,Percent,0.24977,401
Jackson Heights,Naturalized Citizen,2007,Percent,0.26562,403
Flushing,Naturalized Citizen,2007,Percent,0.298,407
Bayside,Naturalized Citizen,2007,Percent,0.23536,411
Queens Village,Naturalized Citizen,2007,Percent,0.29327,413
Fresh Meadows/Briarwood,Naturalized Citizen,2007,Percent,0.29385,408
Elmhurst/Corona,Naturalized Citizen,2007,Percent,0.28722,404
Rego Park/Forest Hills,Naturalized Citizen,2007,Percent,0.3369,406
Sunnyside/Woodside,Naturalized Citizen,2007,Percent,0.27141,402
Ridgewood/Glendale,Naturalized Citizen,2007,Percent,0.19635,405
Woodhaven,Naturalized Citizen,2007,Percent,0.27425,409
Jamaica/St. Albans,Naturalized Citizen,2007,Percent,0.21077,412
Howard Beach,Naturalized Citizen,2007,Percent,0.25628,410
The Rockaways,Naturalized Citizen,2007,Percent,0.13082,414
Bronx,Naturalized Citizen,2007,Percent,0.1309,36005
Brooklyn,Naturalized Citizen,2007,Percent,0.21274,36047
Manhattan,Naturalized Citizen,2007,Percent,0.12903,36061
Queens,Naturalized Citizen,2007,Percent,0.258,36081
Staten Island,Naturalized Citizen,2007,Percent,0.13861,36085
New York City,Naturalized Citizen,2007,Percent,0.19086,3651000
Riverdale,Non-Citizens,2007,Number,21359,208
Williamsbridge,Non-Citizens,2007,Number,23957,212
Throgs Neck,Non-Citizens,2007,Number,7583,210
Pelham Parkway,Non-Citizens,2007,Number,20864,211
Morrisania,Non-Citizens,2007,Number,13476.31902,203
East Tremont,Non-Citizens,2007,Number,14068.68098,206
Bedford Park,Non-Citizens,2007,Number,26298,207
University Heights,Non-Citizens,2007,Number,29934,205
Concourse/Highbridge,Non-Citizens,2007,Number,37198,204
Unionport/Soundview,Non-Citizens,2007,Number,24985,209
Mott Haven,Non-Citizens,2007,Number,20066.66707,201
Hunts Point,Non-Citizens,2007,Number,11458.33293,202
Washington Heights,Non-Citizens,2007,Number,60528,112
Manhattanville,Non-Citizens,2007,Number,27351,109
Central Harlem,Non-Citizens,2007,Number,18671,110
East Harlem,Non-Citizens,2007,Number,21502,111
Upper East Side,Non-Citizens,2007,Number,23290,108
Upper West Side,Non-Citizens,2007,Number,21933,107
Chelsea/Clinton,Non-Citizens,2007,Number,12154.7032,104
Midtown Business District,Non-Citizens,2007,Number,6083.2968,105
Murray Hill/Stuyvesant,Non-Citizens,2007,Number,20017,106
Lower East Side,Non-Citizens,2007,Number,33528,103
Battery Park/Tribeca,Non-Citizens,2007,Number,7075.74829,101
Greenwich Village,Non-Citizens,2007,Number,10445.25171,102
Tottenville,Non-Citizens,2007,Number,6647,503
South Beach,Non-Citizens,2007,Number,10870,502
St. George,Non-Citizens,2007,Number,20847,501
Williamsburg/Greenpoint,Non-Citizens,2007,Number,24157,301
Bushwick,Non-Citizens,2007,Number,33696,304
Bedford Stuyvesant,Non-Citizens,2007,Number,12563,303
Fort Greene/Brooklyn Hts,Non-Citizens,2007,Number,12976,302
Park Slope,Non-Citizens,2007,Number,7963,306
Crown Heights North,Non-Citizens,2007,Number,22201,308
Brownsville,Non-Citizens,2007,Number,12378,316
East New York,Non-Citizens,2007,Number,16805,305
Canarsie,Non-Citizens,2007,Number,23736,318
East Flatbush,Non-Citizens,2007,Number,25390,317
Crown Heights South,Non-Citizens,2007,Number,22341,309
Sunset Park,Non-Citizens,2007,Number,42871,307
Bay Ridge,Non-Citizens,2007,Number,16816,310
Borough Park,Non-Citizens,2007,Number,26683,312
Flatbush/Midwood,Non-Citizens,2007,Number,27562,314
Sheepshead Bay,Non-Citizens,2007,Number,21991,315
Bensonhurst,Non-Citizens,2007,Number,39469,311
Coney Island,Non-Citizens,2007,Number,14562,313
Astoria,Non-Citizens,2007,Number,39439,401
Jackson Heights,Non-Citizens,2007,Number,67918,403
Flushing,Non-Citizens,2007,Number,58058,407
Bayside,Non-Citizens,2007,Number,17887,411
Queens Village,Non-Citizens,2007,Number,30115,413
Fresh Meadows/Briarwood,Non-Citizens,2007,Number,26649,408
Elmhurst/Corona,Non-Citizens,2007,Number,52485,404
Rego Park/Forest Hills,Non-Citizens,2007,Number,22700,406
Sunnyside/Woodside,Non-Citizens,2007,Number,45943,402
Ridgewood/Glendale,Non-Citizens,2007,Number,32284,405
Woodhaven,Non-Citizens,2007,Number,37133,409
Jamaica/St. Albans,Non-Citizens,2007,Number,39794,412
Howard Beach,Non-Citizens,2007,Number,28314,410
The Rockaways,Non-Citizens,2007,Number,13341,414
Bronx,Non-Citizens,2007,Number,251248,36005
Brooklyn,Non-Citizens,2007,Number,404160,36047
Manhattan,Non-Citizens,2007,Number,262579,36061
Queens,Non-Citizens,2007,Number,512060,36081
Staten Island,Non-Citizens,2007,Number,38364,36085
New York City,Non-Citizens,2007,Number,1468411,3651000
Riverdale,Non-Citizens,2007,Percent,0.18873,208
Williamsbridge,Non-Citizens,2007,Percent,0.16167,212
Throgs Neck,Non-Citizens,2007,Percent,0.0615,210
Pelham Parkway,Non-Citizens,2007,Percent,0.16431,211
Morrisania,Non-Citizens,2007,Percent,0.17826,203
East Tremont,Non-Citizens,2007,Percent,0.17826,206
Bedford Park,Non-Citizens,2007,Percent,0.21621,207
University Heights,Non-Citizens,2007,Percent,0.23157,205
Concourse/Highbridge,Non-Citizens,2007,Percent,0.26676,204
Unionport/Soundview,Non-Citizens,2007,Percent,0.15007,209
Mott Haven,Non-Citizens,2007,Percent,0.20924,201
Hunts Point,Non-Citizens,2007,Percent,0.20924,202
Washington Heights,Non-Citizens,2007,Percent,0.27295,112
Manhattanville,Non-Citizens,2007,Percent,0.20966,109
Central Harlem,Non-Citizens,2007,Percent,0.14951,110
East Harlem,Non-Citizens,2007,Percent,0.17703,111
Upper East Side,Non-Citizens,2007,Percent,0.10671,108
Upper West Side,Non-Citizens,2007,Percent,0.10226,107
Chelsea/Clinton,Non-Citizens,2007,Percent,0.13695,104
Midtown Business District,Non-Citizens,2007,Percent,0.13695,105
Murray Hill/Stuyvesant,Non-Citizens,2007,Percent,0.13862,106
Lower East Side,Non-Citizens,2007,Percent,0.19447,103
Battery Park/Tribeca,Non-Citizens,2007,Percent,0.12551,101
